epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,15726,0.54142,0.37775,1.01644,0.81387,0.77027,0.81278,0.65418,0.95169,0.96433,1.61469,0.002344,0.002344,0.002344
118,15860.1,0.53507,0.37349,1.01163,0.80216,0.76975,0.80384,0.65173,0.95206,0.96267,1.61602,0.002278,0.002278,0.002278
119,15994.2,0.53186,0.36937,1.01645,0.80893,0.76214,0.80359,0.65106,0.95276,0.96595,1.62149,0.002212,0.002212,0.002212
120,16128.3,0.53345,0.36601,1.01267,0.80672,0.76378,0.80215,0.64994,0.9507,0.97174,1.62156,0.002146,0.002146,0.002146
121,16262.4,0.52543,0.35871,1.00742,0.80723,0.76298,0.80179,0.65026,0.9497,0.97074,1.62337,0.00208,0.00208,0.00208
122,16396.5,0.52911,0.35913,1.00906,0.80741,0.76301,0.80116,0.64908,0.94945,0.98094,1.62565,0.002014,0.002014,0.002014
123,16530.6,0.52162,0.35549,1.00301,0.81323,0.7574,0.80067,0.64942,0.94751,0.97919,1.62755,0.001948,0.001948,0.001948
124,16664.2,0.51767,0.35739,1.00167,0.81405,0.75875,0.80035,0.64943,0.94316,0.97561,1.6247,0.001882,0.001882,0.001882
125,16798,0.50909,0.3441,0.99885,0.81388,0.75703,0.80033,0.6487,0.94233,0.97546,1.62531,0.001816,0.001816,0.001816
126,16932.3,0.50843,0.34779,0.99884,0.81646,0.75848,0.80105,0.64845,0.94188,0.98269,1.62917,0.00175,0.00175,0.00175
127,17066.5,0.50428,0.34514,0.99814,0.81454,0.75925,0.80075,0.64805,0.94336,0.98227,1.63265,0.001684,0.001684,0.001684
128,17200.7,0.49299,0.33644,0.98742,0.81748,0.75615,0.80119,0.64881,0.94408,0.99025,1.63676,0.001618,0.001618,0.001618
129,17334.8,0.49427,0.33476,0.98833,0.81584,0.75212,0.80054,0.64978,0.94517,0.98752,1.6417,0.001552,0.001552,0.001552
130,17468.9,0.4887,0.33028,0.98582,0.7951,0.76427,0.79916,0.64811,0.94602,0.99024,1.64616,0.001486,0.001486,0.001486
131,17603,0.49786,0.33946,0.99195,0.79916,0.76517,0.7982,0.64687,0.94896,1.00053,1.65329,0.00142,0.00142,0.00142
132,17737.1,0.48186,0.33143,0.98754,0.79392,0.77123,0.79817,0.6478,0.94862,1.00919,1.6542,0.001354,0.001354,0.001354
133,17871.2,0.47948,0.32494,0.98516,0.80042,0.76488,0.79771,0.64729,0.94885,1.00587,1.65377,0.001288,0.001288,0.001288
134,18006,0.47533,0.32441,0.98343,0.79793,0.77,0.79709,0.6484,0.94914,1.00809,1.65488,0.001222,0.001222,0.001222
135,18140.3,0.48005,0.32576,0.98351,0.79221,0.77124,0.79707,0.64884,0.95021,1.01179,1.65737,0.001156,0.001156,0.001156
136,18275,0.47155,0.31983,0.98066,0.79937,0.76844,0.79703,0.64882,0.95099,1.01404,1.65994,0.00109,0.00109,0.00109
137,18409.5,0.46586,0.31652,0.97319,0.79845,0.76847,0.79751,0.64964,0.9509,1.01621,1.66136,0.001024,0.001024,0.001024
138,18544.1,0.46515,0.3142,0.97301,0.82371,0.74696,0.79658,0.64869,0.94997,1.02189,1.66201,0.000958,0.000958,0.000958
139,18678.5,0.45741,0.31201,0.96851,0.7996,0.76828,0.79707,0.64942,0.9511,1.02354,1.66496,0.000892,0.000892,0.000892
140,18813.2,0.45055,0.30612,0.96951,0.80113,0.76822,0.798,0.65029,0.9513,1.02398,1.66565,0.000826,0.000826,0.000826
141,18948.3,0.4036,0.2357,0.90726,0.82825,0.74444,0.79723,0.64854,0.95079,1.03121,1.66582,0.00076,0.00076,0.00076
142,19083,0.37853,0.22463,0.89492,0.82932,0.74435,0.79747,0.64806,0.95045,1.03416,1.6657,0.000694,0.000694,0.000694
143,19217.8,0.37686,0.22048,0.8917,0.82748,0.74452,0.79735,0.6479,0.95014,1.03922,1.66571,0.000628,0.000628,0.000628
144,19352.6,0.37012,0.21646,0.89043,0.82785,0.74518,0.79806,0.64917,0.95073,1.04339,1.66687,0.000562,0.000562,0.000562
145,19487,0.35815,0.21045,0.88567,0.82767,0.74505,0.79687,0.65041,0.95059,1.04816,1.66806,0.000496,0.000496,0.000496
146,19621.6,0.3596,0.20924,0.88388,0.82797,0.74498,0.79652,0.65038,0.95224,1.05286,1.67098,0.00043,0.00043,0.00043
147,19756.1,0.35534,0.20766,0.88297,0.82456,0.74805,0.79662,0.65023,0.95286,1.05945,1.67285,0.000364,0.000364,0.000364
148,19890.7,0.35044,0.20455,0.88337,0.82454,0.74556,0.79604,0.64966,0.95161,1.06392,1.67212,0.000298,0.000298,0.000298
149,20025.3,0.3458,0.20277,0.87823,0.82378,0.74392,0.79615,0.64955,0.94997,1.06779,1.67174,0.000232,0.000232,0.000232
150,20159.9,0.34498,0.19983,0.8802,0.82377,0.74379,0.79588,0.65029,0.95009,1.0713,1.67352,0.000166,0.000166,0.000166
